video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"6OTBeW-SIh8","Syekh Ali Jaber, Saya Pasrah. Deddy Corbuzier Podcast","2020-09-16T04:00:01Z","UCYk4LJI0Pr6RBDWowMm-KUw","Deddy Corbuzier","24","20.18.09","[none]","11072175","1124174","8696","120324","https://i.ytimg.com/vi/6OTBeW-SIh8/default.jpg","False","False","#syekhalijaber #deddycorbuzier #podcast"
"7K187w94J88","Raffi DISUGESTI Ferdian, Terbongkar Deh.. | OKAY BOS (16/09/20) Part 3","2020-09-16T13:10:31Z","UC24_Z2L-8Ki183AI9zJJzNQ","TRANS7 OFFICIAL","24","20.18.09","TRANS7|TRANSMEDIA|#WithMe|TRANS7 LIVESTREAMING|OKAY BOS|OKAY BOS TRANS7|RAFFI AHMAD|OKAY BOS HARI INI|OKAY BOS TERBARU|RAFFI AHMAD TRANS7|RAFFI AHMAD OKAY BOS|VICKY PRASETYO|SAHILA|TALKSHOW TRANS7|RANS|RAFFI RANS|RANS ENTERTAINMENT|OKE BOSS|OKAY BOSS|OKE BOS|VICKYNISASI|FILOSOFI EDUKASI VICKY PRASETYO|NAGITA SLAVINA|BILLY SYAHPUTRA|TYAS MIRASIH OKAY BOS|TYAS MIRASIH RAFFI AHMAD|TYAS MIRASIH TRANS7TYAS MIRASIH SUAMI|GEISHA TRANS7|GEISHAL OKAY BOS","2194720","32677","5127","5698","https://i.ytimg.com/vi/7K187w94J88/default.jpg","False","False","OKAY BOSRabu, 16 September 2020PART 1 : https://youtu.be/4PpQLSBDcqAPART 2 : https://youtu.be/r93idoiuJVMPART 3 : https://youtu.be/7K187w94J88PART 4 : https://youtu.be/6e3LLFVB6GM=============OKAY BOSTAYANG SETIAP HARI SENIN - JUMATPUKUL 18.00 - 19.00 WIB================#OkayBosTrans7#RaffiAhmad#TyasMirasih"
"RjI7A3LbvNM","KELUARGA PELAKU PENU5UKAN SYEKH ALI JABER TERNYATA SYIAH,  BENAR KAH?  ATAU INGIN ADU DOMBA?","2020-09-15T00:08:00Z","UC1US-uenbxK9RbPgW8G3AsA","Bang Zizz","24","20.18.09","syekh ali jaber|bandar lampung|hafidz|hafizh|indonesia|syekh ali jaber ditusuk|syekh ali jaber ditusuk orang|syekh ali jaber terbaru 2020|syekh ali jaber surah sajdah|trans tv|berita terbaru|live streaming|kompas tv|berita terkini|cnn indonesia|berita viral|berita kompas|berita kompastv|kompas news|youtube news|islam terkini","3264258","94431","7484","14295","https://i.ytimg.com/vi/RjI7A3LbvNM/default.jpg","False","False","(1) PELAKU PENU5UKAN SYEKH ALI JABER TIDAK G1LA? KENAPA HARUS UL4MA?https://youtu.be/SOCLsm0GCuc(2) SYEKH ALI JABER DI TU5UK, P1S4U PATAH DILENGAN - Pelaku Penu5ukan Syekh Ali Jaber Diamuk Massahttps://youtu.be/CabJm-emjR4silahkan cek video sebelumnya terlebih dahulu.....INSTAGRAM : https://www.instagram.com/bangzizz/FACEBOOK : https://www.facebook.com/pg/BangZizz-609813095880013/posts/Untuk bisnis & kerjasama :officialbangzizz@gmail[.]com#ZizzPeople"
"j4vK3VXK1Uw","LOS DOL | DENNY CAKNAN | DJ KENTRUNG | KALIA SISKA ft SKA 86","2020-09-16T13:50:19Z","UCX7RJTce2MLIfE4e8QxRl4g","UYE tone","10","20.18.09","kalia siska reggae|ska 86|reggae terbaru|ska 86 terbaru|uye tone|reggae ska|kentrung|ku puja puja|ku puja puja tiktok|jirolupat tiktok|denny caknan|dj ku puja puja|dj kentrung|dj slow|los dol|puja puja|kalia siska ft ska 86|hareudang","1852103","74536","1911","9711","https://i.ytimg.com/vi/j4vK3VXK1Uw/default.jpg","False","False","LOS DOL | DENNY CAKNAN | DJ KENTRUNG | KALIA SISKA ft SKA 86LOS DOLCipt : Denny Caknan & Lek DahlanKalia Siska feat SKA 86 :- DITINGGAL PAS SAYANG SAYANGE- KU PUJA PUJA- HAREUDANG- TERLENA ( Ji Ro Lu Pat )- SECAWAN MADU- MANTAN DJANCQK- JERITAN HATIKU- KIMINO TO RIKODan Lain-lain, Play Semua : https://www.youtube.com/playlist?list...BAGIKAN/SHARE VIDEO INI SESUKA KALIAN 😊😊❤️❤️#KaliaSiska #Ska86 #LOSDOLFollow me (Instagram) :@kaliasiska86https://www.instagram.com/kaliasiska86/@skadelapanenamhttps://www.instagram.com/skadelapanenam/"
"MH_vjfNPv70","BTS Performs Dynamite on AGT - America's Got Talent 2020","2020-09-17T00:48:16Z","UCT2X19JJaJGUN7mrYuImANQ","America's Got Talent","24","20.18.09","TV Series|Hilarious Music Songs|Highlights|America's Got Talent|AGT|America's Got Talent 2020|AGT 15|America's Got Talent Season 15|New AGT|Funny Videos|Live Shows|Full Performance|AGT Full|AGT Live Shows|Highlights Previews|funny|clips|talent|talent show|방탄소년단|BTS|Dynamite|Dynamite MV|BTS Dynamite AGT|Dynamite AGT|BTS AGT|Kpop|Korean|Korean Pop|Jimin|J-Hope|Namjoon|Jungkook|Jin|Suga|Taehyung|Hoseok|RM|Hobi|Kpop Music Video|Music Video|BTS on AGT","8848237","1324206","15420","78872","https://i.ytimg.com/vi/MH_vjfNPv70/default.jpg","False","False","BTS (방탄소년단) is BACK! BTS returns with an incredible performance of Dynamite on America's Got Talent!» Get The America's Got Talent App: http://bit.ly/AGTAppDownload» Subscribe for More: http://bit.ly/AGTSub» Watch America's Got Talent Tuesdays & Wednesdays 8/7c on NBC!» Stream on Peacock: https://bit.ly/AGTPeacockAMERICA'S GOT TALENT ON SOCIALLike AGT: https://www.facebook.com/agtFollow AGT: https://twitter.com/agtAGT Instagram: http://instagram.com/agtFind America's Got Talent trailers, full episode highlights, previews, promos, clips, and digital exclusives here. #BTS #BTSonAGT #AGTNBC ON SOCIAL:YouTube: http://www.youtube.com/nbcTwitter: http://Twitter.com/NBCFacebook: http://Facebook.com/NBCInstagram: http://instagram.com/nbcABOUT AMERICA'S GOT TALENTAmerica’s Got Talent, NBC’s No. 1 summer show, returns in May with fresh new faces and familiar favorites, along with the excitement, thrills and feel-good performances that viewers have come to love each season. Creator and Executive Producer Simon Cowell is back at the star-studded judges' table with fan-favorite comedian Howie Mandel. Acclaimed actress and international superstar Sofia Vergara joins as a new judge this season alongside returning judge and global fashion icon Heidi Klum.  The dynamic Terry Crews returns as host. With the show open to acts of all ages, America's Got Talent continues to celebrate the variety format like no other show on television. Year after year, America's Got Talent features an impressive array of singers, dancers, comedians, contortionists, impressionists, magicians, ventriloquists and hopeful stars, all vying to win America's hearts and a $1 million prize.America's Got Talent is available now on Peacock, the new streaming service from NBCUniversal. Watch thousands of hours of hit movies and shows, plus daily news, sports, and pop culture updates. Stream now on Peacock.BTS Performs Dynamite on AGT - America's Got Talent 2020https://youtu.be/MH_vjfNPv70America's Got Talenthttp://www.youtube.com/user/americasgottalent#AGT #AmericasGotTalent"
"g9uBHMAmKrE","MOMO KLARIFIKASI: AKU GA DIKASIH TAU GEISHA GANTI VOKALIS! #DibalikPintu","2020-09-17T08:00:07Z","UCdpxBSzxXGz_J4K30YGvk_Q","Boy William","24","20.18.09","Boy william|dibalik pintu|momo geisha|momo|di balik pintu boy william|geisha|selalu salah|lumpuhkan ingatanku","1057128","57253","491","7016","https://i.ytimg.com/vi/g9uBHMAmKrE/default.jpg","False","False","Dari seorang Rockstar sekarang menjadi Business Woman, ini pertama kali Momo ngundang camera orang untuk masuk ngeliat kemewahan rumah yang ia sekarang tinggali. apakah Momo keluar dari Geisha atau Momo dikeluarkan? Disini Klarifikasi Momo. #DibalikPintu"
"X-uJtV8ScYk","Stray Kids Back Door M/V","2020-09-14T08:59:57Z","UCaO6TYtlC8U5ttz62hTrZgg","JYP Entertainment","10","20.18.09","JYP|Stray Kids|스트레이 키즈|SKZ|스키즈|방찬|BANG CHAN|리노|LEE KNOW|창빈|서창빈|CHANGBIN|SEOCHANGBIN|현진|황현진|HYUNJIN|HWANGHYUNJIN|한|한지성|HAN|HANJISUNG|필릭스|FELIX|승민|김승민|SEUNGMIN|KIMSEUNGMIN|아이엔|양정인|I.N|YANGJEONGIN|stray kids comeback|stray kids music video|skz back door|스트레이 키즈 back door|스트레이 키즈 백도어|스키즈 백도어|스키즈 back door|back door 뮤비|back door 뮤직비디오|백도어 뮤비|백도어 뮤직비디오|back door music video|back door mv|스트레이 키즈 뮤비|스키즈 뮤비|in life|stray kids in life|skz mv|스트레이 키즈 인생","30586971","1941824","21998","590274","https://i.ytimg.com/vi/X-uJtV8ScYk/default.jpg","False","False","Stray Kids(스트레이 키즈) Back Door M/VStray Kids THE 1ST ALBUM IN生iTunes & Apple Music: https://apple.co/2Fz8NaMSpotify: https://spoti.fi/2Frc0cGStray Kids Official YouTube: https://www.youtube.com/c/StrayKidsStray Kids Official Facebook: https://www.facebook.com/JYPEStrayKids/Stray Kids Official Instagram: https://www.instagram.com/realstraykids/Stray Kids Official Twitter: https://twitter.com/Stray_KidsStray Kids Official Fan's: https://fans.jype.com/StrayKids#StrayKids #IN生 #BackDoor #백도어#스트레이키즈 #INLIFE#StrayKidsComeback#YouMakeStrayKidsStayCopyrights 2020 ⓒ JYP Entertainment. All Rights Reserved."
"SOCLsm0GCuc","PELAKU PENU5UKAN SYEKH ALI JABER TIDAK G1LA? KENAPA HARUS UL4MA?","2020-09-14T08:15:26Z","UC1US-uenbxK9RbPgW8G3AsA","Bang Zizz","24","20.18.09","syekh ali jaber|bandar lampung|hafidz|hafizh|indonesia|syekh ali jaber ditusuk|syekh ali jaber ditusuk orang|syekh ali jaber terbaru 2020|syekh ali jaber surah sajdah|trans tv|berita terbaru|live streaming|kompas tv|berita terkini","2821293","85444","4663","14910","https://i.ytimg.com/vi/SOCLsm0GCuc/default.jpg","False","False","KITA KAWAL KASUS SYEKH ALI JABER DI TU5UK, P1S4U PATAH DILENGAN - Pelaku Penu5ukan Syekh Ali Jaber Diamuk Massa(1) PELAKU PENU5UKAN SYEKH ALI JABER TIDAK G1LA? KENAPA HARUS UL4MA?https://www.youtube.com/watch?v=wNGgaRTG46w(3) KELUARGA PELAKU PENU5UKAN SYEKH ALI JABER TERNYATA SYIAH,  BENAR KAH?  ATAU INGIN ADU DOMBA?https://youtu.be/RjI7A3LbvNM.....INSTAGRAM : https://www.instagram.com/bangzizz/FACEBOOK : https://www.facebook.com/pg/BangZizz-609813095880013/posts/Untuk bisnis & kerjasama :officialbangzizz@gmail[.]com#ZizzPeople"
"24Q2n9Itwcc","Syekh Ali Jaber Ditusuk Orang Tak Dikenal di Lampung | tvOne","2020-09-13T11:48:28Z","UCER4rvDnRBPr_ncYW4UCZjg","tvOneNews","25","20.18.09","tvone|tvonenews|tv one|tvone live|tv one live|berita terbaru|news|berita|tvone terbaru|tv one terbaru|tvone update|news live|live report|berita terkini|news update|berita update|tv one update|berita terbaru hari ini|tvonenews.com|live streaming|berita politik|Syekh Ali Jaber Ditusuk|Orang Tak Dikenal|di Lampung|Syekh Ali Jaber|ali jaber|ali jaber tusuk|syekh ali jaber ditusuk|syekh ali jaber|lampung","6018601","105663","5140","38971","https://i.ytimg.com/vi/24Q2n9Itwcc/default.jpg","False","False","Jakarta, tvOnenews.com - Syekh Ali Jaber di serang Orang tak dikenal saat melakukan dakwah di masjid shalahuddin lampung, ia terkena tusukan di otot bagian atas tangan kanan"
"4KYCDsvyoxc","BETRAND PETO PUTRA ONSU | BULAN BINTANG (Official Music Video)","2020-09-15T03:00:13Z","UCg8vVg3RliWcvnlbsI1AzMw","MOP Music Channel","10","20.18.09","MOP Channel Music|Bertand Peto|Bertand|Official Music|bulan bintang|music video","1970183","233902","4241","98854","https://i.ytimg.com/vi/4KYCDsvyoxc/default.jpg","False","False","BULAN BINTANGPerformed by Betrand Peto Putra OnsuComposed & lyric by Indra FirzyDirected by Jordi OnsuArranged & Music Produced by Tengku ShafickKeys & Vocal Directed by Tengku ShafickGuitars & Drum by Johnwill DamaBacking Vocals by The LatuherusVocal & Music Recorded at Afe StudioMusic & Vocal Sound Engineer by Yudi AngusMixed & Edited by Anggi AnggoroMastered at Roomworks Studio*******************************************Kode RBT Bulan BintangTelkomsel ketik BULANBINTANGBP kirim ke 1212Indosat ketik BULANBINTANGBP kirim ke 808XL ketik  BULANBINTANGBP kirim ke 1818Tri ketik 20200915 kirim ke 1212*******************************************Lirik:HAAA HAAA HAAAA HAAAA (CHOIR)HAAA HAAA HAAAA HAAAA (BETRAND)BULAN BINTANG YANG BERSINAR TEMANILAH LANGKAHKU…MENYUSURI GEMERLAPNYA KEHIDUPAN…SAAT SENANG SEMUA MENDEKAT YANG TAK KENAL PUN JADI KAWANAKU TERJEBAK DALAM KEHIDUPAN SEMUA YANG MENDEKAT TANPA KETULUSANREFF: OH TUHAN TUNJUKAN SEMUA PADA DIRIKU TEMAN YANG SETIA MENEMANIKU APA ADANYA TANPA MELIHAT AKU ADA APANYADIMANA TEMAN SETIA SEPERTI DULU SAAT AKU SUSAHMENEMANIKU DENGAN KETULUSAN TANPA MELIHAT ARTI KETENARAN DAN GEMERLAP BINTANGSAAT SENANG SEMUA MENDEKAT YANG TAK KENAL PUN JADI KAWANAKU TERJEBAK DALAM KEHIDUPAN SEMUA YANG MENDEKAT TANPA KETULUSAN(CHOIR: TANPA KETULUSAN)REFF:OH TUHAN TUNJUKAN SEMUA (CHOIR: SEMUA)PADA DIRIKU TEMAN YANG SETIA (CHOIR: SETIA)MENEMANIKU APA ADANYA TANPA MELIHAT AKU ADA APANYA(CHOIR: TANPA MELIHAT AKU ADA APANYA)DIMANA TEMAN SETIA… (CHOIR: SETIAAA)  SEPERTI DULU SAAT AKU (CHOIR: SUSAH)MENEMANI KU DENGAN KETULUSAN TANPA MELIHAT ARTI KETENARAN DAN GEMERLAP BINTANG (CHOIR: TANPA MELIHAT ARTI KETENARAN DAN GEMERLAP BINTANG)0000HHHHH(CHOIR: GEMERLAPNYA BINTANG, DIMANA TEMAN SETIA)OH TUHAN TUNJUKAN SEMUA PADA DIRIKU TEMAN YANG SETIA MENEMANIKU APA ADANYA TANPA MELIHAT AKU ADA APANYADIMANA TEMAN SETIA SEPERTI DULU SAAT AKU SUSAHMENEMANIKU DENGAN KETULUSAN TANPA MELIHAT ARTI KETENARAN DAN GEMERLAP BINTANG(CHOIR: MELIHAT ARTI KETENARAN DAN…)Credit Title:General Manager Operational MOP : Terry Soe Head Of Content Production MOP : Dina Aprilia Head Of Facilities MOP : Luthfy Kahar Head Of Sales & Business: Okto RohyadiHead of Talent: Heidy HellenaProducer : Tri PermadiCo-Producer: Kenitah AnggrainiCreative: ReynaldiProduction Assistant: Dellia AprillianiArt and Property : Lukman Nuraji DOP: Luthfy KaharCameraman: Dimas Isnain Harseno | Muhammad Budi Prasetyo | Eka PutraLighting: Ahmad RozaqEditor : Ade Yusuf Iskandar UPM : Shony Marida Angriawan Talent Coordinator : FajriMake Up & Hair Do :  Nova Rianty Zen | Abank | Raja GintingWardrobe & Stylist : Ivan Gunawan Boutique, Cut Belleun & Dino Miliano Still Photo : Fahri PotretCar Pool: Erwin Narto*******************************************Special Thanks To:- BEBY CREAM By Dr. Tata | IG: @beby_cream- Super Mega Bintang Ivan GunawanThanks to:- Tuhan YME- Inez Cosmetics- Bento X Bensu Seluruh Indonesia, Taiwan, Malaysia, Singapore, Hongkong Dan Seluruh Dunia - MOP Lovers - Subscribers Mop Channel - Semua yang mensupport Mop Channel - Dan Semua yang terlibat dalam Video Klip Ini#betrandpetoputraonsu #bulanbintangmv"
