video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"e5vv4IUw0pU","Juventus 3-0 Sampdoria | Kulusevski Scores on Debut as Juve Open with a Win | Serie A TIM","2020-09-20T21:45:00Z","UCBJeMCIeLQos7wacox4hmLQ","Serie A","17","20.23.09","Juventus|Sampdoria|juventus sampdoria|juve sampdoria|juventus samdoria highlights|juventus highlights|juventus sampdoria 3 0|kulusevski|kulusevski juventus|Ronaldo|Serie A|Napoli|calcio|Cristiano Ronaldo|goals|Higuain|Dybala|highlights|AC Milan|Inter Milan|Roma|CR7|full highlights|watch|stream|partita|migliori gol|migliori in campo|migliori al mondo|gol del mese|federcalcio|Italia|lukaku|de ligt|Lazio|bonucci|Weston mckennie","5754431","104218","4255","5771","https://i.ytimg.com/vi/e5vv4IUw0pU/default.jpg","False","False","Dejan Kulusevski scored on his Juventus debut as his side cruised to a 3-0 win with goals from Leonardo Bonucci and Cristiano Ronaldo | Serie A TIMThis is the official channel for the Serie A, providing all the latest highlights, interviews, news and features to keep you up to date with all things Italian football.Subscribe to the channel here! https://bit.ly/2OM2Eax Find out more about the Serie A at: http://www.legaseriea.it/en/ Questo è il canale ufficiale della Serie A, dove potrai avere accesso ai momenti salienti, alle interviste, alle notizie e alle funzionalità del momento per rimanere aggiornato sulle ultime novità del campionato.Iscriviti qui al canale! https://bit.ly/2OM2EaxPer maggiori informazioni sulla Serie A: http://www.legaseriea.it/it"
"gFYAXsa7pe8","BTS: Tiny Desk (Home) Concert","2020-09-21T13:00:11Z","UC4eYXhJI4-7wSWc8UNRwD4A","NPR Music","10","20.23.09","NPR|NPR Music|National Public Radio|Live|Performance|tiny desk|tiny desk concert|tony desk|tiny concert|BTS","9267487","1566223","12485","139913","https://i.ytimg.com/vi/gFYAXsa7pe8/default.jpg","False","False","For new music, the latest Tiny Desk (home) concerts and more, sign up for the NPR Music newsletter, sent weekly: npr.org/nprmusicnewsletterSept. 21, 2020 | Stephen Thompson -- We've been trying to make a BTS Tiny Desk concert happen for years now — even gaming out ways we might move Bob Boilen's desk far enough forward to accommodate the superstar Korean boy band's dance moves.In the end, it took a global pandemic — and the launch of Tiny Desk (home) concerts back in March — to make something happen. With BTS cooped up in Seoul, the group held true to the series's spirit by convening a live band for its Tiny Desk debut, and even arranged to perform in a workspace with a music-friendly backdrop: the record store VINYL & PLASTIC by Hyundai Card in BTS's hometown.Opening with this summer's inescapable Dynamite — the group's first single to hit No. 1 in the U.S., as well as its first song to be fully recorded in English — BTS leaned hard into the new track's celebratory, Uptown Funk-adjacent vibes. From there, the group dipped into its back catalog, seizing on the opportunity to showcase its quieter side while (mostly) staying uncharacteristically seated. The breezily propulsive Save ME, from 2016, ultimately gave way to a full-on power ballad in 2017's reflective Spring Day.The latter track seemed especially true to BTS's hopeful nature: Introduced with a few optimistic words from rapper and singer RM (It's been the roughest summer ever, but we know that spring will come), the song reflects on a need to wait out hard times, even as the weight of present-day pain feels oppressive.BTS had intended to spend 2020 delighting the BTS Army in arenas around the world, only to spend these last few months performing in isolation. Released on the last day of a grim season, Spring Day provides a nice reminder of what awaits us on the other side. We just have to get through fall and winter first.SET LISTDynamiteSave MESpring DayMUSICIANSV: vocals; Jin: vocals; Jimin: vocals; J-Hope: vocals; RM: vocals; SUGA: vocals; Jungkook: vocals; KHAN: drums; DOCSKIM: keyboard; Kim Kiwook: bass; Shyun: guitarCREDITSVideo and Audio by: Big Hit Entertainment; Producer: Stephen Thompson; Audio Mastering Engineer: Josh Rogosin; Video Producer: Morgan Noelle Smith; Associate Producer: Bobby Carter; Executive Producer: Lauren Onkey; Senior VP, Programming: Anya GrundmannABOUT THE SERIESThe Tiny Desk is working from home for the foreseeable future. Introducing NPR Music's Tiny Desk (home) concerts, bringing you performances from across the country and the world. It's the same spirit — stripped-down sets, an intimate setting — just a different space."
"8XcC6OiVJTA","NCT 2020 YearParty","2020-09-22T09:06:40Z","UCwgtORdDtUKhpjE1VBv6XfA","NCT","10","20.23.09","NCT 2020|Resonance|NCT 2020 Resonance|엔시티|엔시티2020|NCT|ch NCT|대단한 사람들|임정환|NCT 2018|엔시티 2018|yearparty|이어파티","3170972","772001","3133","88720","https://i.ytimg.com/vi/8XcC6OiVJTA/default.jpg","False","False","NCT 2020 YearPartyhttp://www.nct2020.comNCT Officialhttp://www.youtube.com/nctsmtownhttp://www.facebook.com/NCT.smtownhttp://www.instagram.com/ncthttp://twitter.com/NCTsmtown#NCT2020 #RESONANCE #RESONANCE_Pt1 #NCT #NCT2020_RESONANCE #YearParty #NCT2020_YearParty"
"6OTBeW-SIh8","Syekh Ali Jaber, Saya Pasrah. Deddy Corbuzier Podcast","2020-09-16T04:00:01Z","UCYk4LJI0Pr6RBDWowMm-KUw","Deddy Corbuzier","24","20.23.09","[none]","14864266","1300805","11954","133893","https://i.ytimg.com/vi/6OTBeW-SIh8/default.jpg","False","False","#syekhalijaber #deddycorbuzier #podcast"
"tAr5raot5Wg","KIAT SEDERHANA PENYELAMAT HIDUPMU! || Tips Lucu dan Berguna oleh 123 GO! GOLD","2020-09-17T09:00:10Z","UCwIzd032IQjvJ9larkdcwgg","123 GO! GOLD Indonesian","24","20.23.09","123|123 go|123go|123 go gold|123gogold|123go!|123 go!|123 go! gold|123go!gold|tantangan|lelucon|trik kehidupan|DIY|kerajinan|proyek DIY|bermain peran|komedi|sketsa|humor|tertawa|sketsa komedi|trik|kerjakan sendiri|seru|lucu|video lucu|sketsa lucu|video seru|langkah-langkah|cara membuat|tutorial|buatan tangan|buatan rumah","4534625","37681","5257","2598","https://i.ytimg.com/vi/tAr5raot5Wg/default.jpg","False","False","Kita tahu cara mengatasi kondisi darurat sehari-hari dan menghindar dari masalah! Hari ini, kamu akan belajar cara menyelesaikan masalah apa pun dengan mudah dan bertahan, bahkan dari serpihan kayu!Cobalah kiat-kiat sederhana untuk mengatasi masalah di sekolah, menggunakan benang gigi agar terhindar dari hukuman dan memperbaiki kacamata gurumu, serta cara membersihkan rumah dan menggunakan penyedot debu untuk membuat gaya rambut yang unik!Subscribe 123 GO! GOLD👑 Indonesian dan nyalakan loncengnya 🔔 supaya tidak ketinggalan video kami.Sampai jumpa lagi!#123GO #GOLD #lucu #trikseharihariURUTAN WAKTU:00:00 Cara mengeluarkan serpihan kayu menggunakan gelas01:15 Kiat sehari-hari yang benar-benar berguna03:20 Hal-hal yang merusak harimu07:05 Trik menggunakan hal-hal sederhana dan benda sehari-hari09:58 Dibuang sayangBERLANGGANAN: https://bit.ly/3blXLA0----------------------------------------------------------------Musik oleh Epidemic Sound: https://www.epidemicsound.com/Sampel Foto: https://www.depositphotos.com https://www.shutterstock.comVideo ini ditujukan sebagai hiburan. Kami tidak menjamin kelengkapan, keamanan, dan kelayakan apa pun. Segala tindakan yang dilakukan berdasarkan informasi di video ini akan sepenuhnya menjadi risiko pelaku, dan kami tidak akan bertanggung jawab atas segala kerusakan dan kehilangan. Pemirsa bertanggung jawab penuh untuk menilai, merawat, dan melakukan tindak pencegahan jika berencana untuk meniru.Video berikut ini mungkin menampilkan aktivitas yang dilakukan oleh aktor-aktor kami dalam lingkungan terkendali - mohon bertindak penuh pertimbangan, kewaspadaan, dan kehati-hatian apabila hendak meniru."
"TFzqrTKSljc","KAKAK BERADIK PODCAST - (PART 2) PERTAMA !! FRISLLY KENALIN CAITHLYN, TEMAN BARU MARSYA !!!","2020-09-18T14:00:10Z","UCrrimexxJpH-zLIrg_IPV_w","MOP Channel","24","20.23.09","Kakak beradik podcast|Betrand Peto Putra Onsu|Jordi Onsu|Ruben Onsu|MOP Channel|the Onsu Family|horror|horor|misteri|geprek bensu","3141638","134503","3746","16766","https://i.ytimg.com/vi/TFzqrTKSljc/default.jpg","False","False","Di part ke 2, uncle bercerita soal mimpinya bertemu dengan Marsya dan teman barunya. Frislly pun akhirnya mengenalkan sahabat baru Marsya yang bernama Caithlyn kepada uncle Jordi. Gimana cerita selanjutnya ya?Yuk langsung di tonton sampe abis ya, dan Jangan lupa komen, like, subscribe dan nyalakan lonceng notifikasi. Biar kamu gak ketinggalan nonton videonya!———————————————————————-Follow instagram @mopchannelhttps://instagram.com/mopchannel?igshid=1dmpya0qheb83#kakakberadikpodcast #mopchannel  #betrandpetoputraonsu #jordionsu #rubenonsu#theonsufamily #frislly #marsya #horror #horor  #misteri #geprekbensuKakak beradik podcast, Betrand Peto Putra Onsu, Jordi Onsu, Ruben Onsu, MOP Channel, the Onsu Family, horror, horor, misteri, geprek bensu"
"zQo2C6C2tGE","Chelsea 0-2 Liverpool | Premier League Highlights","2020-09-20T21:00:06Z","UCU2PacFf99vhb3hNiYDmxww","Chelsea Football Club","17","20.23.09","chelsea 0-2 liverpool|Chelsea F.C. (Football Team)|chelsea fc|chelsea v liverpool|chelsea liverpool|chelsea liverpool highlights|chelsea highlights|chelsea football club news|liverpool highlights|liverpool v chelsea|Premier League|premier league highlights|chelsea|Kai havertz|mane goal|skills|goal|willian|soccer|chilwell|Sadio mane|pulisic|kante|hudson-odoi|timo werner|ben chilwell|London|training|lampard|abraham|hakim ziyech|ziyech|werner|Havertz","2074394","22285","1681","2912","https://i.ytimg.com/vi/zQo2C6C2tGE/default.jpg","False","False","Watch the highlights from Chelsea's Premier League match against Liverpool.Download Chelsea FC's official mobile app:-App Store https://apple.co/2vvlN9t-Play Store http://bit.ly/2MfNJHX Subscribe: http://che.lc/YTsubscribeTo watch more EXCLUSIVE Chelsea content go to: http://che.lc/YTwebsiteWelcome to the official home of Chelsea Football Club on YouTube. It’s the only channel where you’ll get an authentic look at life at this great club. Every week we’ll be uploading fresh content from the training ground, our famous stadium and much, much more. Nowhere else will you get closer to world-class stars like Christian Pulisic, Kai Havertz, Hakim Ziyech, Timo Werner & N’Golo Kanté. ABOUT CHELSEA FOOTBALL CLUBFounded in 1905, Chelsea Football Club has a rich history, with its many successes including 5 Premier League titles, 8 FA Cups and 1 Champions League, secured on a memorable night in 2012. Famous former Blues include Peter Osgood, Gianfranco Zola, Dennis Wise, John Terry, Didier Drogba & Eden Hazard."
"_hFarg-Obuc","TREASURE - ‘사랑해 (I LOVE YOU)’ M/V","2020-09-18T09:00:16Z","UCx9hXYOCvUYwrprEqe4ZQHA","TREASURE (트레저)","24","20.23.09","YG Entertainment|YG|와이지|K-pop|트레져|트레저|TREASURE|CHOI HYUN SUK|JIHOON|YOSHI|JUNKYU|MASHIHO|YOON JAE HYUK|ASAHI|BANG YE DAM|DOYOUNG|HARUTO|PARK JEONG WOO|SO JUNG HWAN|최현석|지훈|요시|준규|마시호|윤재혁|아사히|방예담|도영|하루토|박정우|소정환|TREASURE 사랑해|사랑해|THE FIRST STEP|CHAPTER TWO|트레저 사랑해|트레저 B.L.T|TREASURE B.L.T|B.L.T|Bling Like This|TREASURE BLT|트레저 BLT|THE FIRST STEP : CHAPTER TWO","13791519","1028504","12750","345508","https://i.ytimg.com/vi/_hFarg-Obuc/default.jpg","False","False","사랑해떠올린 네 생각에머리가 좀 복잡해깨질 것만 같아가득한 Fantasy궁금한 Mystery제발 힌트를 줘사소한 것 하나까지 널 따라해실수한 건 아냐 자연스럽게 Yeah이미 몸에 깊게 배인 너란 향기에중독이 돼 버린 거야너 없인 난 아무것도 못 해 내가 바보 같아 보이겠지 Yeah심장이 너 없인 뛰질 못해 머리부터 발끝까지 모두다 사랑해널 사랑해널 사랑해널 사랑해잠깐의 불씨가 퍼져 Flame절대로 벗어나지 마 내 Frame부피가 커진 내 감정이 100%너로 차올라 내 품에 Come on inCome on in come on in 내게로 넌나만 바라봐 뜨거운 태양처럼맘대로 내 맘을 뒤집어 놓고돌아서지 마! 내 손을 잡아밖에 못 나가 너 때매 미쳐주체 못 하는 Beast달빛 아래 네게 노랠 불러들리니 Where u at? My boo너 없인 난 아무것도 못 해 내가 바보 같아 보이겠지 Yeah심장이 너 없인 뛰질 못해 머리부터 발끝까지 모두다 사랑해널 사랑해널 사랑해널 사랑해Oh my god매일 Up and down건조한 날 흠뻑 적신 건 너야매일 밤 너란 사람 때매미쳐 버린 거야수위 조절 실패야OH OH OH너 없인 난 아무것도 못 해 내가 바보 같아 보이겠지 Yeah심장이 너 없인 뛰질 못해 머리부터 발끝까지 모두We goin’ hard 더 뜨겁게LA LA LA LA LAWe make it pop 불태울게LA LA LA LA LAPut your hands up In the air SayLA LA LA LA LALet’s make love HeyLet’s make love Hey다 사랑해널 사랑해널 사랑해널 사랑해Albums Available @ YG SELECT : http://www.ygselect.com/ YG SELECT China : http://cn.ygselect.com/ YG SELECT Amazon(JP) : http://bit.ly/yg-amzn-jp YG SELECT Amazon(US) : http://bit.ly/yg-amzn-us YG SELECT Amazon(UK) : http://bit.ly/yg-amzn-uk YG SELECT Qoo10(SG) : https://www.qoo10.sg/shop/ygselect #TREASURE #트레저 #2ndSINGLEALBUM #THEFIRSTSTEP_CHAPTERTWO #사랑해 #ILOVEYOU #YGMore about TREASURE @https://yg-treasure.comhttps://www.youtube.com/OfficialTreasurehttps://www.facebook.com/OfficialTreasurehttps://www.twitter.com/ygtreasuremakerhttps://www.instagram.com/yg_treasure_official"
"j4vK3VXK1Uw","LOS DOL | DENNY CAKNAN | DJ KENTRUNG | KALIA SISKA ft SKA 86","2020-09-16T13:50:19Z","UCX7RJTce2MLIfE4e8QxRl4g","UYE tone","10","20.23.09","kalia siska reggae|ska 86|reggae terbaru|ska 86 terbaru|uye tone|reggae ska|kentrung|ku puja puja|ku puja puja tiktok|jirolupat tiktok|denny caknan|dj ku puja puja|dj kentrung|dj slow|los dol|puja puja|kalia siska ft ska 86|hareudang","5280633","127676","4924","14189","https://i.ytimg.com/vi/j4vK3VXK1Uw/default.jpg","False","False","LOS DOL | DENNY CAKNAN | DJ KENTRUNG | KALIA SISKA ft SKA 86LOS DOLCipt : Denny Caknan & Lek DahlanKalia Siska feat SKA 86 :- DITINGGAL PAS SAYANG SAYANGE- KU PUJA PUJA- HAREUDANG- TERLENA ( Ji Ro Lu Pat )- SECAWAN MADU- MANTAN DJANCQK- JERITAN HATIKU- KIMINO TO RIKODan Lain-lain, Play Semua : https://www.youtube.com/playlist?list...BAGIKAN/SHARE VIDEO INI SESUKA KALIAN 😊😊❤️❤️#KaliaSiska #Ska86 #LOSDOLFollow me (Instagram) :@kaliasiska86https://www.instagram.com/kaliasiska86/@skadelapanenamhttps://www.instagram.com/skadelapanenam/"
"9a1Lbx-eOiE","Chelsea v. Liverpool | PREMIER LEAGUE HIGHLIGHTS | 9/20/2020 | NBC Sports","2020-09-20T18:39:40Z","UCqZQlzSHbVJrwrn5XvzrzcA","NBC Sports","17","20.23.09","NBC Sports|NBC|NBCSN|Premier League|Soccer|Premier League 2020-21|PL 20-21|Premier League 2020-21 Matchweek 2|Matchweek 2|Premier League highlights|PL highlights|Liverpool|Chelsea v. Liverpool|Liverpool highlights|Chelsea|Chelsea highlights|Premier League extended highlights|PL extended highlights","2651704","26210","6151","2656","https://i.ytimg.com/vi/9a1Lbx-eOiE/default.jpg","False","False","An Andreas Christensen red card and Kepa Arrizabalaga howler doomed Chelsea as Liverpool capitalized to seize a 2-0 victory at Stamford Bridge. #NBCSports #PremierLeague #Chelsea #Liverpool» Subscribe to NBC Sports: https://www.youtube.com/nbcsports?sub_confirmation=1» Watch Live Sports on NBCSports.com: http://www.nbcsports.com/live» Get more Premier League news on NBC Sports: https://nbcsports.com/soccer/premier-leagueWant more Premier League? Check out Peacock Premium: peacocktv.com/premierleagueNBC Sports Group serves sports fans 24/7 with premier live events, insightful studio shows, and compelling original programming. NBC Sports is an established leader in the sports media landscape with an unparalleled collection of sports properties that include the Olympics, NFL, Premier League, NHL, NASCAR, PGA TOUR, the Kentucky Derby, Tour de France, French Open, IndyCar and many more. Subscribe to our channel for the latest sporting news and highlights!The Premier League across NBC Sports Group launched in 2013 with their biggest and broadest programming commitment to-date in the United States. With live multi-platform coverage of all 380 games, analysis from best-in-class talent and extensive surrounding coverage all week long, NBC Sports Group has become the ultimate destination for new and existing Premier League fans.The Premier League maintains strong and consistent reach across NBC, NBCSN, CNBC, and NBC Sports Group’s live streaming products, led by the biggest stars and most prestigious teams in the world.Visit NBC Sports: https://www.nbcsports.comFind NBC Sports on Facebook: https://www.facebook.com/NBCSportsFollow NBC Sports on Twitter: https://twitter.com/nbcsportsFollow NBC Sports on Instagram: https://www.instagram.com/nbcsports/https://www.nbcsports.com/nfl/sunday-night-footballhttps://nbcsports.com/motors/nascarhttps://nbcsports.com/soccer/premier-leagueChelsea v. Liverpool | PREMIER LEAGUE HIGHLIGHTS | 9/20/2020 | NBC Sportshttps://www.youtube.com/nbcsports"
