video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"WBnqReAF8nU","Nella Kharisma feat. Dory Harsa - Banyu Moto [OFFICIAL]","2020-06-10T10:00:11Z","UC2sVRtimSUdDN2myZ6Cf03w","Nella Kharisma Official","10","20.13.06","nella kharisma|nella kharisma official|dory harsa|banyu moto|sleman receh|dangdut koplo|Nella Kharisma Official","6691827","344268","9964","60012","https://i.ytimg.com/vi/WBnqReAF8nU/default.jpg","False","False","Full Album Nella Kharisma: https://www.youtube.com/playlist?list=PLQVDVegXmBRqa3g92vhejz6SfPoxtxYlfFollow Instagram Nella Kharisma :https://instagram.com/nellakharisma?igshid=1he4ui1bnjs2xFollow Twitter Nella Kharisma :https://mobile.twitter.com/nellakharisma94Follow Tiktok Nella Kharisma :https://vt.tiktok.com/24maTU/Contact Person For Job :+6285806511128 ( Mas Candra )+6282143138402 ( Cak Rul )Title : Banyu MotoArtist : Nella Kharisma Feat. Dory HarsaSongwriter : Heri Marwanto ( Sleman Receh )Music & Video : NK CreativeProduction : Nella Kharisma OfficialCopyright © 2020 Nella Kharisma OfficialAll rights reserved.Song Lyric,BANYU MOTOtembang iki tak gawemung kanggo kowesing paling tak tenaninganti saikitumetese banyu moto ikising dadi saksisumpah lan janjisehidup sematisampai kapan kan kau buktikantresno tulus yo mung kanggo awakkusampai mati kan ku pastikanmergo mung kowe sing tak tresnani tekane maticahyo lintang ing wengi gawe anyeme atitambah nggegowo roso kangen mring sliramu, tresnakutumetese banyu moto iki sing dadi saksisumpah lan janji sehidup sematisampai kapan kan kau buktikantresno tulus yo mung kanggo awakkusampai mati kan ku pastikanmergo mung kowe sing tak tresnani tekane matisampai kapan kan kau buktikantresno tulus yo mung kanggo awakkusampai mati kan ku pastikanmergo mung kowe sing tak tresnani tekane maticahyo lintang ing wengi gawe anyeme atitambah ngegowo roso kangen mring sliramu, tresnakuINDONESIAlagu ini ku ciptakan hanya untukmuyang paling ku cintai sampai saat iniberlinang air mata ini yang jadi saksisumpah dan janji sehidup sematisampai kapan kan kau buktikancinta tulus hanya untuk dirikusampai mati kan ku pastikankarena hanya kamu yang ku cintai sampai maticahaya bintang di malam membuat tenangnya hatitambah membawa rasa kangen kepadamu, cintaku#NellaKharisma #DoryHarsa #BanyuMotoYouTube channel managed by MusicYes Digital DistributionFully YouTube CertifiedJoin MusicYeshttps://musicyess.com/Account/Register"
"aokW1-NWv9o","TANGIS Nikita Mirzani Pecah di Pelukan Nagita | OKAY BOS (12/06/20) Part 3","2020-06-12T13:10:53Z","UC24_Z2L-8Ki183AI9zJJzNQ","TRANS7 OFFICIAL","24","20.13.06","TRANS7|TRANSMEDIA|#StayHome|#WithMe|#StayAtHome|TRANS7 LIVESTREAMING|ACARA TRANS7|TRANS7 LIVE|TRANS7 HARI INI|OKAY BOS|OKAY BOS TRANS7|RAFFI AHMAD|OKAY BOS HARI INI|OKAY BOS TERBARU|RAFFI AHMAD TRANS7|RAFFI AHMAD OKAY BOS|VICKY PRASETYO|SAHILA|TALKSHOW TRANS7|GOSIP TERBARU|GOSIP ARTIS|RANS|RAFFI RANS|RANS ENTERTAINMENT|OKE BOSS|OKAY BOSS|OKE BOS|VICKYNISASI|FILOSOFI EDUKASI VICKY PRASETYO|NAGITA SLAVINA|NIKITA MIRZANI|NIKITA MIRZANI DI OKAY BOS","1786834","49069","1156","2896","https://i.ytimg.com/vi/aokW1-NWv9o/default.jpg","False","False","OKAY BOSJumat, 12 Juni 2020PART 1 : https://youtu.be/0YyFhY5KmyEPART 2 : https://youtu.be/q9AMpKjyQVoPART 3 : https://youtu.be/aokW1-NWv9oPART 4 : https://youtu.be/Y2_oO1hjTDI=============OKAY BOSTAYANG SETIAP HARI SENIN - JUMATPUKUL 18.00 - 19.00 WIB================#OkayBosTrans7#RaffiAhmad#NikitaMirzani"
"t9zPnWQIiuw","[2020 FESTA] BTS (방탄소년단) '방탄생파' #2020BTSFESTA","2020-06-12T15:00:02Z","UCLkAepWjdylmXSltofFvsYQ","BANGTANTV","10","20.13.06","방탄소년단|BTS|BANGTAN|HIPHOP|알엠|RM|슈가|SUGA|제이홉|jhope|지민|JIMIN|뷔|정국|JUNGKOOK|진|JIN","7139302","1811760","3887","152762","https://i.ytimg.com/vi/t9zPnWQIiuw/default.jpg","False","False","Connect with BTS: https://ibighit.com/bts http://twitter.com/BTS_bighithttp://twitter.com/BTS_twt http://www.facebook.com/bangtan.official https://www.youtube.com/user/BANGTANTV http://instagram.com/BTS.bighitofficial https://channels.vlive.tv/FE619 https://www.tiktok.com/@bts_official_bighithttps://weverse.onelink.me/qt3S/94808190https://www.weibo.com/BTSbighithttps://www.weibo.com/BTSmembers http://i.youku.com/btsofficial http://btsblog.ibighit.com"
"wbpwvTpBjmE","K-POP STARS sing in THREE Languages🎤| INA/TAG/SPN | SECRET NUMBER | TRANSONGLATION","2020-06-10T11:30:50Z","UCF7X2COltpbPqWWNxW5cZRw","ROLLING","10","20.13.06","secret number|시크릿 넘버|dita|lea|jinny|soodam|denise|디타|레아|지니|수담|데니스|secret number who dis|who dis|secret number rolling|rolling kpop|secret number live|transonglation secret number|transonglation|indonesia kpop|philippines kpop|spain kpop|롤링|트랜송레이션|다언어가요|롤링 시크릿넘버","2563598","217735","3086","21339","https://i.ytimg.com/vi/wbpwvTpBjmE/default.jpg","False","False","🔔 Make sure to turn on CC for more subtitles(Indonesian&Spanish subs are available now!)**We are always open to your cc/subtitles contribution for any languages!** Hi, all the K-POP lovers from all corners of the globe🌐💚Here we come with the 16th episode of #TRANSONGLATION #CHALLENGE 🎤, sung by #SECRET_NUMBER ✨ 📸 All the behind the scenes and photos 📸 👉👉 Check it out on our TWITTER PAGE (https://twitter.com/ROLLING_KPOP) 🌐 Multinational K-POP Contents, ROLLING 🌐"
"ErTgtL1Tjns","BTS | Dear Class Of 2020","2020-06-07T23:32:55Z","UCLkAepWjdylmXSltofFvsYQ","BANGTANTV","24","20.13.06","Graduation|Dear Class of 2020|BTS","17843466","3044369","38819","171362","https://i.ytimg.com/vi/ErTgtL1Tjns/default.jpg","False","False","Dear Class of 2020 is a virtual commencement celebration bringing together inspirational leaders and artists to celebrate graduates, their families, and their communities.Watch the full stream here: https://www.youtube.com/watch?v=rxpTjcouaeQConnect with BTS: https://ibighit.com/bts http://twitter.com/BTS_bighithttp://twitter.com/BTS_twt http://www.facebook.com/bangtan.official https://www.youtube.com/user/BANGTANTV http://instagram.com/BTS.bighitofficial https://channels.vlive.tv/FE619 https://www.tiktok.com/@bts_official_bighithttps://weverse.onelink.me/qt3S/94808190https://www.weibo.com/BTSbighithttps://www.weibo.com/BTSmembers http://i.youku.com/btsofficial http://btsblog.ibighit.com"
"dnL7lSR6Sag","#SANSTALK ATHALLA SAMA AISYAH PUTUS? AISYAH NANGIS! PART 2","2020-06-11T10:30:13Z","UCR2Rk1nRREWoYgOegCTbEXw","Athalla Naufal","22","20.13.06","Athalla|Naufal|Aisyah|Aqilah|Verrel|Bramasta|VRL|Venna|Malinda|Vania|Athabina|Seleb|Indo|Artis|Indonesia|Youtuber|athalla naufal|aisyah aqillah|athalla naufal dan aisyah putus|indonesia","1556262","59861","2905","2242","https://i.ytimg.com/vi/dnL7lSR6Sag/default.jpg","False","False","Aisyah putus sama athalla? Semua pertanyaan kalian bakal terjawab disini... instagram: @athallanaufal7"
"XlnxmIgUaKU","Truth or Dare Billy syahputra dan Amanda Manopo saling BAPERAN ???","2020-06-09T10:00:11Z","UCXfb0tTEMp2wq__vQi76dMw","Billy Syahputra","24","20.13.06","[none]","2435654","91361","3295","17774","https://i.ytimg.com/vi/XlnxmIgUaKU/default.jpg","False","False","https://youtu.be/XlnxmIgUaKUTRUTH OR DARE YANG SANGET MENEGANGKAN UNTUK BILLY SYAHPUTRA DAN AMANDA MANOPO.#Billy #Amanda"
"ZjGiK87EaQ0","BLACKPINK - '24/365 with BLACKPINK' Prologue","2020-06-13T01:00:05Z","UCOmHUn--16B90oW2L6FRR3A","BLACKPINK","10","20.13.06","YG Entertainment|YG|와이지|K-pop|BLACKPINK|블랙핑크|블핑|제니|로제|리사|지수|Lisa|Jisoo|Jennie|Rosé|BLINK|블링크|24/365|블랙핑크 리얼리티|BLACKPINK 24/365","2934201","699280","4910","51547","https://i.ytimg.com/vi/ZjGiK87EaQ0/default.jpg","False","False","#BLACKPINK #블랙핑크 #24_365_WITH_BLACKPINK #PROLOGUE #YOUTUBE #YG"
"vnISCqD54WY","RUMAH PULUHAN MILIAR MILIK PRILLY AKHIRNYA DIBUKA! #DibalikPintu","2020-06-08T08:00:13Z","UCdpxBSzxXGz_J4K30YGvk_Q","Boy William","24","20.13.06","prilly latuconsina|boy william|rumah milyaran|nebengboy|drinkswithboy|ganteng ganteng serigala","3356849","154355","2346","7175","https://i.ytimg.com/vi/vnISCqD54WY/default.jpg","False","False",""
"PQOJJ037ys8","SEVENTEEN (세븐틴) 'My My' Official MV","2020-06-11T15:00:03Z","UC3IZKseVpdzPSBaWxBxundA","Big Hit Labels","10","20.13.06","세븐틴|SEVENTEEN|플레디스|PLEDIS|헹가래|Henggarae|My My","5757505","998620","7972","113138","https://i.ytimg.com/vi/PQOJJ037ys8/default.jpg","False","False","SEVENTEEN (세븐틴) 'My My' Official MV#SEVENTEEN #세븐틴#헹가래 #Henggarae #MyMy#200622_6pmAll animals appearing in the content were filmed under the close supervision and care of professionals.SEVENTEEN Official Homepage: http://www.seventeen-17.comSEVENTEEN Official Facebook: https://www.facebook.com/seventeennewsSEVENTEEN Official Twitter: https://twitter.com/pledis_17SEVENTEEN Official Instagram: http://www.instagram.com/saythename_17SEVENTEEN Official Fancafe: http://cafe.daum.net/pledis-17SEVENTEEN Official Weverse : https://www.weverse.io/seventeen"
